"accountName","accountLinkedin","accountUrl","accountDescription","peopleLinkedin","status","initialReason"
"Paperchase","https://www.linkedin.com/company/paperchase/","http://www.paperchase.com","#CelebrateEveryDay

Paperchase is an iconic British brand with a global presence. With all things celebration at our core, we are the (smiley) face of the positive moments in life for customers in more than 90 stores across the UK. 

For over 50 years we’ve been bringing joy to the everyday through our innovative, design-led cards, wrap, stationery and gifts. Our seasonal collections are brought to life using the highest quality materials from around the world and the talents of our in-house teams in London. 

All Paperchasers are brought together by our core shared values. 

We are… 
BOLD in our decision making
FRESH THINKERS always looking for ways to be even better 
PLAYFUL in everything we do
KIND to our customers, our colleagues and our planet. 

If this sounds like you, come and join us in spreading a little joy every day. See our current vacancies at paperchase.com/careers","https://linkedin.com/in/kate-mortimore-a8167364","invalid","Proxycurl linkedin does not match account"
"Ryman","https://www.linkedin.com/company/ryman/","https://www.ryman.co.uk/linkedin","Since 1893 Ryman has been a leading name on the high street, providing our customers all over the UK with pens, pencils, calculators, notebooks, and more stationery essentials.

What you might not know is that we also pride ourselves on our wide range of office supplies, technology, and garden furniture. Our experts hand-select every item from ballpoint pens to printers to hot tubs, and we have exclusive products from brands that you love and trust, like HP, Biro, Really Useful Boxes, and more. 

We also provide office essentials to businesses, enterprises, and education. Whether your company is office-based or home-based, our range has everything your employees need from home office desks, copy paper with bulk discount, and hot drinks. One of our specialist team members is on hand to help with your business ordering, offering you fast delivery and the option to pay by credit.  

So if you need school supplies for your little ones, craft activities to keep them busy in the school holidays, furniture for your home office, and canteen supplies for your company premises, you can rely on Ryman. We have everything you need for work, home, and learning.","https://linkedin.com/in/james-newman-3a716769","invalid","Proxycurl linkedin does not match account"
"Airtasker","https://www.linkedin.com/company/airtasker","https://www.airtasker.com/","Airtasker is one of Australias most impactful tech companies. Our mission is to empower people to realise the full value of their skills.   Our marketplace creates jobs and earning opportunities for people all over Australia and internationally, leveraging skills that they might not have previously known could provide them an income. After listing on the ASX in 2021, we went global through launching new marketplaces in the US and UK.  Here's a snapshot of where we are up to in numbers: - We have created over $2bn worth of job opportunities since we started! - 1.3m customers have used our platform to get stuff done - 148,000 Taskers have used our platform to earn money - We have 5.7m registered users globally - Our top earning Tasker in FY22 took home $340,000!  At Airtasker, we have five values that drive our actions, thoughts and goals everyday: - Stay Open - People Matter - Fit for Purpose - When its On, its On - Own It  At Airtasker we believe in culture add - that each person is different and has their own background, learnings and unique experiences that can add to the Airtasker cultural tapestry. We pride ourselves on our inclusive culture, and encourage applications from people of all backgrounds.  Benefits include:  - Competitive compensation packages - Agile and innovative ways of working  - Flexible, hybrid workplace environment - Learning and development - Progressive parental leave policies - Access to wellbeing support - Airtasker credits - Regular connection and celebration events - Dog friendly office  So come be a part of our journey and check out our live roles - https://www.airtasker.com/careers/","https://linkedin.com/in/kang-chen-012aa39","invalid","Proxycurl linkedin does not match account"
"Australia Post","https://www.linkedin.com/company/australia-post","http://auspost.com.au/","Connecting businesses with consumers is the heart of commercial prosperity and the cornerstone of Australia Post's commitment to Australian businesses. As connectivity transforms our lives, Australia Post is evolving to meet the future needs of businesses by providing trusted service solutions in etailing, retailing, communications, financial services and postal. Continuous improvement of these services is our relentless objective.

On LinkedIn, Australia Post only collects, uses and stores your personal information that relates to providing information in response to your queries. Without this information, Australia Post will be unable to look into your query. Your personal information may also be disclosed to third party service providers to facilitate this process. Your personal information is managed in accordance with Australia Post’s Privacy Policy. This sets out how you may seek access to and correction of your personal information and how to make complaints. A copy is available at auspost.com.au/privacy. Australia Post may only disclose the information provided by you if required or authorised by law, or in accordance with our Privacy Policy. Please refer to the Privacy Policy or contact the Privacy Contact Officer, Australia Post, GPO Box 1777, Melbourne, Vic 3000 for any privacy related queries.","https://linkedin.com/in/richard-paulson-acma-cgma-9708a558","invalid","proxycurl scraping error"
"AGL","https://www.linkedin.com/company/agl","http://www.agl.com.au","At AGL, we believe energy makes life better. That’s why we’re passionate about powering the way Australians live, work and move. 

Like you, we believe that the world is going through extraordinary challenges. We don’t shy away from the tough questions and we consider the answers carefully. We work in partnership with our customers and communities, and take action to shape a better future for all.

As life changes, we join the change, constantly evolving over 185 years. Today we bring all that know-how to transform how Australians produce, share and consume energy. We’re investing in new ideas, partnerships and infrastructure – renewing and expanding our portfolio of sources and products to help make them more sustainable, reliable, affordable and useful.

We’ll continue to innovate in energy and other essential services to enhance the way Australians live, and to help preserve the world around us for future generations.

Need to get in contact with us? https://www.agl.com.au/contact-us-social","https://linkedin.com/in/maryambechtel","invalid","Proxycurl linkedin does not match account"
"AMP","https://linkedin.com/company/amp","http://www.amp.com.au","Beginning in 1849 as the Australian Mutual Provident Society, today AMP Limited is a retail wealth management and banking business supporting approximately 1.5 million customers across Australia and New Zealand. 

We offer expertise in financial advice, superannuation and banking to help people achieve their financial goals and create their tomorrow.

For information on AMP products and services; Australia: Visit amp.com.au or call 133 888 within Australia New Zealand: Visit amp.co.nz or call 0800 267 111 within New Zealand 

Community guidelines: Please note, AMP has the right to remove any comment or material published to our page that we consider defamatory, offensive, unlawful, indecent, misleading, false, deceitful, profane, or threatening to users or the company. We will also delete comments that are negative or hateful towards race, sexuality, gender, ethnicity, religion, disability, age, social status, or education. Any public posts that include personal details will be deleted for privacy purposes. Comments that are considered off-topic or spam may also be subject to removal.","https://linkedin.com/in/kathryn-francis-88257733","invalid","proxycurl scraping error"
"Bumble Inc.","https://linkedin.com/company/bumble","https://team.bumble.com/","Bumble Inc. is the parent company of Bumble, Badoo, and Fruitz. The Bumble platform enables people to connect and build healthy and equitable relationships. Founded by CEO Whitney Wolfe Herd in 2014, Bumble was one of the first dating apps built with women at the center and connects people across dating (Bumble Date), friendship (Bumble BFF) and professional networking (Bumble Bizz). Badoo, which was founded in 2006, is one of the pioneers of web and mobile dating products. Fruitz, founded in 2017, encourages open and honest communication of dating intentions through playful fruit metaphors.

The moves we make on the outside reflect who we are on the inside. At Bumble, we are a  diverse group of kind and growth-minded people, committed to helping our global community find real connections and making the internet a safer space for everyone. 

Bumble’s culture is rooted in kindness and respect, and we believe in providing the personal and professional support our team members need to help make mission-driven impact. 

Make moves that matter, at https://team.bumble.com/","https://linkedin.com/in/kate-urquiola-1326957b","invalid","Proxycurl linkedin does not match account"
"Bumble Inc.","https://linkedin.com/company/bumble","https://team.bumble.com/","Bumble Inc. is the parent company of Bumble, Badoo, and Fruitz. The Bumble platform enables people to connect and build healthy and equitable relationships. Founded by CEO Whitney Wolfe Herd in 2014, Bumble was one of the first dating apps built with women at the center and connects people across dating (Bumble Date), friendship (Bumble BFF) and professional networking (Bumble Bizz). Badoo, which was founded in 2006, is one of the pioneers of web and mobile dating products. Fruitz, founded in 2017, encourages open and honest communication of dating intentions through playful fruit metaphors.

The moves we make on the outside reflect who we are on the inside. At Bumble, we are a  diverse group of kind and growth-minded people, committed to helping our global community find real connections and making the internet a safer space for everyone. 

Bumble’s culture is rooted in kindness and respect, and we believe in providing the personal and professional support our team members need to help make mission-driven impact. 

Make moves that matter, at https://team.bumble.com/","https://linkedin.com/in/vkazanov","invalid","Proxycurl linkedin does not match account"
"Bumble Inc.","https://linkedin.com/company/bumble","https://team.bumble.com/","Bumble Inc. is the parent company of Bumble, Badoo, and Fruitz. The Bumble platform enables people to connect and build healthy and equitable relationships. Founded by CEO Whitney Wolfe Herd in 2014, Bumble was one of the first dating apps built with women at the center and connects people across dating (Bumble Date), friendship (Bumble BFF) and professional networking (Bumble Bizz). Badoo, which was founded in 2006, is one of the pioneers of web and mobile dating products. Fruitz, founded in 2017, encourages open and honest communication of dating intentions through playful fruit metaphors.

The moves we make on the outside reflect who we are on the inside. At Bumble, we are a  diverse group of kind and growth-minded people, committed to helping our global community find real connections and making the internet a safer space for everyone. 

Bumble’s culture is rooted in kindness and respect, and we believe in providing the personal and professional support our team members need to help make mission-driven impact. 

Make moves that matter, at https://team.bumble.com/","https://linkedin.com/in/reda-kechouri-9a0a412","invalid","Proxycurl linkedin does not match account"
"Bumble Inc.","https://linkedin.com/company/bumble","https://team.bumble.com/","Bumble Inc. is the parent company of Bumble, Badoo, and Fruitz. The Bumble platform enables people to connect and build healthy and equitable relationships. Founded by CEO Whitney Wolfe Herd in 2014, Bumble was one of the first dating apps built with women at the center and connects people across dating (Bumble Date), friendship (Bumble BFF) and professional networking (Bumble Bizz). Badoo, which was founded in 2006, is one of the pioneers of web and mobile dating products. Fruitz, founded in 2017, encourages open and honest communication of dating intentions through playful fruit metaphors.

The moves we make on the outside reflect who we are on the inside. At Bumble, we are a  diverse group of kind and growth-minded people, committed to helping our global community find real connections and making the internet a safer space for everyone. 

Bumble’s culture is rooted in kindness and respect, and we believe in providing the personal and professional support our team members need to help make mission-driven impact. 

Make moves that matter, at https://team.bumble.com/","https://linkedin.com/in/rob-withington-78879243","invalid","Proxycurl linkedin does not match account"
"City of Newcastle, Australia","https://www.linkedin.com/company/the-city-of-newcastle-australia/","http://www.newcastle.nsw.gov.au","City of Newcastle is a local government authority in NSW, Australia. Council employees over 900 staff helping residents and visitors live, work and play in Newcastle. Newcastle has six beaches, two ocean baths, five inland pools, 630km of footpaths, 350 parks and fields, 118 playgrounds, 634 buildings and structures, 798.5km of roads and plenty more. Council also manages Newcastle Art Gallery, Newcastle Museum, Civic Theatre and nine branch libraries.","https://linkedin.com/in/russellweir","invalid","Proxycurl linkedin does not match account"
"Autodesk","https://www.linkedin.com/company/autodesk","http://www.autodesk.com","Autodesk is changing how the world is designed and made. Our technology spans architecture, engineering, construction, product design, manufacturing, media, and entertainment, empowering innovators everywhere to solve challenges big and small. From greener buildings to smarter products to more mesmerizing blockbusters, Autodesk software helps our customers to design and make a better world for all. 

Over 100 million people use Autodesk software like AutoCAD, Revit, Maya, 3ds Max, Fusion 360, SketchBook, and more to unlock their creativity and solve important design, business and environmental challenges. Our software runs on both personal computers and mobile devices and taps the infinite computing power of the cloud to help teams around the world collaborate, design, simulate and fabricate their ideas in 3D.
 
We provide exceptional compensation/benefit packages and we’d love for you to join us. We’re proud to be an equal opportunity employer and we consider all qualiﬁed applicants without regard to race, gender, disability, veteran status or other protected category.  To see our culture in action, check out #AutodeskLife.

We are headquartered in the San Francisco Bay Area and have more than 10,000 employees worldwide.","https://linkedin.com/in/volha-samasiuk","invalid","Proxycurl linkedin does not match account"
"Bank of Queensland","https://www.linkedin.com/company/bank-of-queensland","http://www.boq.com.au","Thanks for stopping by the BOQ LinkedIn Page! We’re on a mission to become Australia’s most loved bank. No walk in the park, but it’s how we go about things that make it possible. We’ll do it by getting face-to-face, one-to-one and creating real, long-lasting relationships with our customers. Flash-in-the-pan financial arrangements aren’t for us.

Like any close relationship good communication is everything. In fact, getting personal is what we’re all about. Being able to talk to us on social media should be more like chatting with a good friend over coffee.  So feel free to share the love by sharing our posts, ask questions, or tell us what you think.","https://linkedin.com/in/jessica-v-a8829aa8","invalid","proxycurl scraping error"
"Constellation","https://linkedin.com/company/constellation-energy","http://www.constellationenergy.com","Headquartered in Baltimore, Constellation Energy Corporation (Nasdaq: CEG) is the nation’s largest producer of clean, carbon-free energy and a leading supplier of energy products and services to businesses, homes, community aggregations and public sector customers across the continental United States, including three fourths of Fortune 100 companies. With annual output that is nearly 90% carbon-free, our hydro, wind and solar facilities paired with the nation’s largest nuclear fleet have the generating capacity to power the equivalent of 15 million homes, providing around 10% of the nation’s clean energy. We are further accelerating the nation’s transition to a carbon-free future by helping our customers reach their sustainability goals, setting our own ambitious goal of achieving 100% carbon-free generation by 2040, and by investing in promising emerging technologies to eliminate carbon emissions across all sectors of the economy. 

https://www.constellationenergy.com/our-company/what-we-stand-for/our-purpose.htm

Learn more at www.constellation.com or on Twitter at @ConstellationEG.

Subscribe to our blog at www.constellation.com/subscribe","https://linkedin.com/in/seth-unterschute-6286a78b","invalid","Proxycurl linkedin does not match account"
"Bank of Queensland","https://www.linkedin.com/company/bank-of-queensland","http://www.boq.com.au","Thanks for stopping by the BOQ LinkedIn Page! We’re on a mission to become Australia’s most loved bank. No walk in the park, but it’s how we go about things that make it possible. We’ll do it by getting face-to-face, one-to-one and creating real, long-lasting relationships with our customers. Flash-in-the-pan financial arrangements aren’t for us.

Like any close relationship good communication is everything. In fact, getting personal is what we’re all about. Being able to talk to us on social media should be more like chatting with a good friend over coffee.  So feel free to share the love by sharing our posts, ask questions, or tell us what you think.","https://linkedin.com/in/vidya-krishnakumar-29007814","invalid","Proxycurl linkedin does not match account"
"Bankwest","https://www.linkedin.com/company/bankwest","http://www.bankwest.com.au","Our Bankwest people are passionate about putting customers at the heart of everything we do.

We’re dedicated to delivering brilliant customer experiences every day and we’re always looking at how we can do more for our customers, to remove the BS (Bank Stuff) and ask less of them.

We were founded in 1895 on Noongar Country and we’ve been part of the fabric of WA for more than 125 years, with Bankwest locations spanning 29 Aboriginal peoples’ lands and 11 nations.

We stand for simplicity and transparency, brilliant service, and great value, and we work hard to make banking easier for customers, through self-empowering tools and honest human-to-human support, backed by the best technology, when they need us.

Supporting the communities in which we live and work is part of our DNA, and we’re committed to being there for our customers when they need us the most, particularly vulnerable customers, with safety and security, guidance and support, be that through direct assistance, advocacy, volunteering, or sharing critical insights on financial wellbeing.

So where can you find us if you need us? 
At any of our branches across Australia 
By calling 13 17 19 
www.bankwest.com.au 
facebook.com/bankwest 
instagram.com/bankwest 
twitter.com/bankwest 
youtube.com/bankwest 

See our Social media house rules here: https://www.bankwest.com.au/terms-conditions/social-media-house-rules

Bankwest, a division of Commonwealth Bank of Australia ABN 48 123 123 124 AFSL/Australian credit licence 234945.","https://linkedin.com/in/rebecca-mitchell-576a3531","invalid","Proxycurl linkedin does not match account"
"Bankwest","https://www.linkedin.com/company/bankwest","http://www.bankwest.com.au","Our Bankwest people are passionate about putting customers at the heart of everything we do.

We’re dedicated to delivering brilliant customer experiences every day and we’re always looking at how we can do more for our customers, to remove the BS (Bank Stuff) and ask less of them.

We were founded in 1895 on Noongar Country and we’ve been part of the fabric of WA for more than 125 years, with Bankwest locations spanning 29 Aboriginal peoples’ lands and 11 nations.

We stand for simplicity and transparency, brilliant service, and great value, and we work hard to make banking easier for customers, through self-empowering tools and honest human-to-human support, backed by the best technology, when they need us.

Supporting the communities in which we live and work is part of our DNA, and we’re committed to being there for our customers when they need us the most, particularly vulnerable customers, with safety and security, guidance and support, be that through direct assistance, advocacy, volunteering, or sharing critical insights on financial wellbeing.

So where can you find us if you need us? 
At any of our branches across Australia 
By calling 13 17 19 
www.bankwest.com.au 
facebook.com/bankwest 
instagram.com/bankwest 
twitter.com/bankwest 
youtube.com/bankwest 

See our Social media house rules here: https://www.bankwest.com.au/terms-conditions/social-media-house-rules

Bankwest, a division of Commonwealth Bank of Australia ABN 48 123 123 124 AFSL/Australian credit licence 234945.","https://linkedin.com/in/andy-weir-742b4b6","invalid","proxycurl scraping error"
"Bankwest","https://www.linkedin.com/company/bankwest","http://www.bankwest.com.au","Our Bankwest people are passionate about putting customers at the heart of everything we do.

We’re dedicated to delivering brilliant customer experiences every day and we’re always looking at how we can do more for our customers, to remove the BS (Bank Stuff) and ask less of them.

We were founded in 1895 on Noongar Country and we’ve been part of the fabric of WA for more than 125 years, with Bankwest locations spanning 29 Aboriginal peoples’ lands and 11 nations.

We stand for simplicity and transparency, brilliant service, and great value, and we work hard to make banking easier for customers, through self-empowering tools and honest human-to-human support, backed by the best technology, when they need us.

Supporting the communities in which we live and work is part of our DNA, and we’re committed to being there for our customers when they need us the most, particularly vulnerable customers, with safety and security, guidance and support, be that through direct assistance, advocacy, volunteering, or sharing critical insights on financial wellbeing.

So where can you find us if you need us? 
At any of our branches across Australia 
By calling 13 17 19 
www.bankwest.com.au 
facebook.com/bankwest 
instagram.com/bankwest 
twitter.com/bankwest 
youtube.com/bankwest 

See our Social media house rules here: https://www.bankwest.com.au/terms-conditions/social-media-house-rules

Bankwest, a division of Commonwealth Bank of Australia ABN 48 123 123 124 AFSL/Australian credit licence 234945.","https://linkedin.com/in/chris-sivalingam-50564a2","invalid","Proxycurl linkedin does not match account"
"MLC Life Insurance","https://www.linkedin.com/company/mlcinsurance.com.au/","http://www.mlcinsurance.com.au","At MLC Life Insurance, we’re committed to protecting Australians by providing care and support when it’s most needed. It’s what drives our ambition to be Australia’s leading and most trusted life insurer.

For over 135 years, we’ve continued to be guided by our founder James Garvan’s promise “to bring the security and protection of life assurance within the reach of every man, woman and child”. It’s a promise we take to heart, as we provide flexible, affordable, and innovative insurance products to almost 1 million Australians. 

Australian-led and managed, our business represents a landmark strategic partnership between National Australia Bank (NAB) and one of the world’s leading life insurers, Nippon Life Group (our majority shareholder). 

Complementing our insurance cover, we’re also proud to provide those we insure access to Vivo – a holistic health, wellness and recovery program. Vivo further enhances our leading claims function through providing access to a range of bespoke services including fitness, nutrition, mental health and recovery.

This makes us your trusted partner for life and living.","https://linkedin.com/in/naren-k-l-8346a414b","invalid","proxycurl scraping error"
"IOOF","https://www.linkedin.com/company/ioof","http://www.ioof.com.au","On 10 Dec 2021, IOOF Holdings Ltd was renamed to become Insignia Financial Ltd our new enterprise brand.

While proud of our 175-year heritage as a friendly society, the time had come to have a corporate brand that reflects the organisation today, and the opportunities ahead.
 
Our ambition is for Insignia Financial to be the symbol for financial wellbeing in Australia, making financial literacy, coaching, guidance, advice as well as products and services more accessible to more Australians.

Our IOOF products and services will continue to exist and meet the needs of our clients alongside other brands within the group.","https://linkedin.com/in/sharam-hekmat-a0609137","invalid","proxycurl scraping error"
"Patch.com","https://www.linkedin.com/company/patch-com","http://www.patch.com","Welcome to the official Patch LinkedIn page! Patch is a network of hyperlocal websites covering community news in 1,200+ towns across America. Patch is everything local. Anchored by our award-winning journalism, we are the only major platform providing hyperlocal news and information to hyperlocal audiences. Known as “The Patch” in its towns, Patch strengthens communities and community organizations.

As a business, we strive to make local news a sustainable enterprise so we can do more of it.","https://linkedin.com/in/matt-j-williams","invalid","Proxycurl linkedin does not match account"
"Nine","https://linkedin.com/company/nine-entertainment-co.","http://www.nineforbrands.com.au","We are Australia’s largest locally owned media company – the home of Australia’s most trusted and loved brands spanning News, Sport, Lifestyle, and Entertainment, we pride ourselves on creating the best content, accessed by consumers when and how they want.  

Nine’s strategy is to create Australia’s best content, make world class connections and accelerate growth.

Nine’s assets include the 9Network, major mastheads such as The Sydney Morning Herald, The Age and The Australian Financial Review, radio stations 2GB, 3AW, 4BC and 6PR, digital properties such as nine.com.au, 9Now, 9Honey, Pedestrian.TV, Drive, subscription video platform Stan and a majority investment in Domain Group.","https://linkedin.com/in/domagoj-filipovic-12773515","invalid","proxycurl scraping error"
"Origin Energy","https://www.linkedin.com/company/origin-energy","http://www.originenergy.com.au","Origin is one of Australia's leading energy companies, exploring, generating and delivering energy to over 4 million customer accounts. Our purpose – getting energy right for our customers, communities and planet – drives everything we do. 

As Australia's largest energy retailer, we have an important role to play in providing electricity, natural gas, solar and LPG to Australian communities and work every day to make energy more affordable, more sustainable, smarter and easier for our customers.

We are committed to leading the transition to a cleaner energy future and believe our company, and the energy industry more broadly, should be at the forefront of action to reduce carbon emissions. Origin was the first Australian company to set an emissions reduction target endorsed by the Science Based Targets initiative (SBTi) – aiming to halve our Scope 1 and Scope 2 carbon emissions by 2032, as we work towards achieving net zero emissions by 2050.

Through the Origin Energy Foundation, we support programs that use education to help break the cycle of disadvantage and empower young Australians to reach their potential, contributing more than $27 million to support community organisations since 2010.

View our community guidelines here: http://bit.ly/1GQP6E9","https://linkedin.com/in/christophstrizik","invalid","Proxycurl linkedin does not match account"
